Табуляція вузлів
  i |     n     |   t (мс)
  0 |    1000.0 |     3.00
  1 |    2000.0 |     5.00
  2 |    4000.0 |    11.00
  3 |    8000.0 |    28.00
  4 |   16000.0 |    85.00

Табуляція на відрізку (P з 10 рівновіддалених вузлів)
           x        f(x)      P_n(x)        eps(x)        omega(x)
      1000.0      3.0000      3.0000    0.0000e+00     -0.0000e+00
      1517.2      3.9348      3.9348    2.3537e-14     -7.0792e+36
      2034.5      5.0827      5.0827    1.6875e-14     -4.0126e+36
      2551.7      6.4200      6.4200    3.5527e-15     -5.1462e+35
      3069.0      7.9255      7.9255   -3.5527e-15      9.8503e+35
      3586.2      9.5802      9.5802   -5.3291e-15      9.0330e+35
      4103.4     11.3673     11.3673    0.0000e+00      2.6038e+35
      4620.7     13.2725     13.2725    0.0000e+00     -2.2835e+35
      5137.9     15.2836     15.2836    1.7764e-15     -3.3171e+35
      5655.2     17.3908     17.3908    0.0000e+00     -1.5784e+35
      6172.4     19.5867     19.5867    7.1054e-15      6.8286e+34
      6689.7     21.8660     21.8660    3.5527e-15      1.7615e+35
      7206.9     24.2258     24.2258    0.0000e+00      1.2400e+35
      7724.1     26.6656     26.6656    0.0000e+00     -1.6283e+34
      8241.4     29.1870     29.1870   -3.5527e-15     -1.2804e+35
      8758.6     31.7941     31.7941    7.1054e-15     -1.2804e+35
      9275.9     34.4930     34.4930    1.4211e-14     -1.6283e+34
      9793.1     37.2925     37.2925    1.4211e-14      1.2400e+35
     10310.3     40.2035     40.2035    1.4211e-14      1.7615e+35
     10827.6     43.2391     43.2391    0.0000e+00      6.8286e+34
     11344.8     46.4148     46.4148   -7.1054e-15     -1.5784e+35
     11862.1     49.7485     49.7485    7.1054e-15     -3.3171e+35
     12379.3     53.2602     53.2602    1.4211e-14     -2.2835e+35
     12896.6     56.9724     56.9724   -1.4211e-14      2.6038e+35
     13413.8     60.9098     60.9098   -1.4211e-14      9.0330e+35
     13931.0     65.0994     65.0994   -1.4211e-14      9.8503e+35
     14448.3     69.5704     69.5704    1.4211e-14     -5.1462e+35
     14965.5     74.3545     74.3545    1.4211e-14     -4.0126e+36
     15482.8     79.4857     79.4857    5.6843e-14     -7.0792e+36
     16000.0     85.0000     85.0000    2.8422e-14      0.0000e+00
