Похибка апроксимації |f(x) - φ(x)| для m = 1..4
       x |        m=1 |        m=2 |        m=3 |        m=4
------------------------------------------------------------
   1.000 |     9.8433 |     7.4138 |     5.1308 |     7.8859
   1.048 |     9.7610 |     7.3632 |     5.1438 |     7.2085
   1.096 |     9.6787 |     7.3124 |     5.1559 |     6.5451
   1.144 |     9.5963 |     7.2615 |     5.1673 |     5.8953
   1.192 |     9.5140 |     7.2105 |     5.1779 |     5.2592
   1.240 |     9.4317 |     7.1593 |     5.1876 |     4.6367
   1.287 |     9.3493 |     7.1080 |     5.1966 |     4.0274
   1.335 |     9.2670 |     7.0565 |     5.2047 |     3.4314
   1.383 |     9.1847 |     7.0049 |     5.2121 |     2.8485
   1.431 |     9.1023 |     6.9532 |     5.2187 |     2.2786
   1.479 |     9.0200 |     6.9014 |     5.2245 |     1.7216
   1.527 |     8.9377 |     6.8494 |     5.2295 |     1.1772
   1.575 |     8.8553 |     6.7973 |     5.2337 |     0.6455
   1.623 |     8.7730 |     6.7451 |     5.2372 |     0.1262
   1.671 |     8.6907 |     6.6927 |     5.2399 |     0.3807
   1.719 |     8.6083 |     6.6402 |     5.2418 |     0.8755
   1.767 |     8.5260 |     6.5876 |     5.2429 |     1.3581
   1.815 |     8.4437 |     6.5348 |     5.2432 |     1.8288
   1.862 |     8.3613 |     6.4819 |     5.2428 |     2.2876
   1.910 |     8.2790 |     6.4289 |     5.2417 |     2.7347
   1.958 |     8.1967 |     6.3757 |     5.2397 |     3.1702
   2.006 |     8.0956 |     6.3037 |     5.2183 |     3.5755
   2.054 |     7.8695 |     6.1065 |     5.0711 |     3.8445
   2.102 |     7.6434 |     5.9092 |     4.9232 |     4.1022
   2.150 |     7.4173 |     5.7117 |     4.7745 |     4.3488
   2.198 |     7.1913 |     5.5141 |     4.6251 |     4.5845
   2.246 |     6.9652 |     5.3164 |     4.4749 |     4.8092
   2.294 |     6.7391 |     5.1186 |     4.3240 |     5.0232
   2.342 |     6.5130 |     4.9206 |     4.1724 |     5.2266
   2.390 |     6.2869 |     4.7225 |     4.0200 |     5.4195
   2.437 |     6.0608 |     4.5243 |     3.8669 |     5.6019
   2.485 |     5.8348 |     4.3259 |     3.7130 |     5.7741
   2.533 |     5.6087 |     4.1274 |     3.5585 |     5.9362
   2.581 |     5.3826 |     3.9288 |     3.4032 |     6.0882
   2.629 |     5.1565 |     3.7300 |     3.2472 |     6.2302
   2.677 |     4.9304 |     3.5311 |     3.0905 |     6.3625
   2.725 |     4.7043 |     3.3321 |     2.9330 |     6.4850
