         x            F(x)
   -2.0000     -0.41614684
   -1.9000     -0.32328957
   -1.8000     -0.22720209
   -1.7000     -0.12884449
   -1.6000     -0.02919952
   -1.5000      0.07073720
   -1.4000      0.16996714
   -1.3000      0.26749883
   -1.2000      0.36235775
   -1.1000      0.45359612
   -1.0000      0.54030231
   -0.9000      0.62160997
   -0.8000      0.69670671
   -0.7000      0.76484219
   -0.6000      0.82533561
   -0.5000      0.87758256
   -0.4000      0.92106099
   -0.3000      0.95533649
   -0.2000      0.98006658
   -0.1000      0.99500417
    0.0000      1.00000000
    0.1000      0.99500417
    0.2000      0.98006658
    0.3000      0.95533649
    0.4000      0.92106099
    0.5000      0.87758256
    0.6000      0.82533561
    0.7000      0.76484219
    0.8000      0.69670671
    0.9000      0.62160997
    1.0000      0.54030231
    1.1000      0.45359612
    1.2000      0.36235775
    1.3000      0.26749883
    1.4000      0.16996714
    1.5000      0.07073720
    1.6000     -0.02919952
    1.7000     -0.12884449
    1.8000     -0.22720209
    1.9000     -0.32328957
    2.0000     -0.41614684
