  Крок              x1              x2            f(X)
     0      1.50000000      1.50000000  3.12500000e-01
     1      1.43750000      1.25000000  1.71417236e-01
     2      1.81250000      1.25000000  1.79006958e+00
     3      1.56250000      1.28125000  3.25403214e-02
     4      1.31250000      1.34375000  6.08239174e-01
     5      1.50000000      1.34375000  1.18875504e-02
     6      1.37500000      1.46875000  3.36518288e-01
     7      1.50781250      1.28125000  7.26807863e-03
     8      1.52343750      1.15625000  1.44214399e-01
     9      1.52343750      1.31250000  1.96374208e-03
    10      1.55468750      1.37500000  9.64343622e-02
    11      1.50781250      1.30859375  1.43002928e-03
    12      1.47656250      1.30078125  3.08462514e-02
    13      1.52343750      1.29296875  8.32339982e-04
    14      1.55468750      1.26171875  2.42095722e-02
    15      1.51953125      1.30859375  4.57798364e-04
    16      1.51171875      1.33984375  9.45192319e-03
    17      1.51562500      1.30078125  1.31111825e-04
    18      1.50781250      1.28515625  5.74214966e-03
    19      1.51953125      1.30175781  6.46836861e-05
    20      1.52734375      1.30371094  1.89737574e-03
    21      1.51757812      1.30273438  1.21144694e-07
    22      1.51367188      1.30468750  2.25245516e-04
    23      1.51745605      1.30285645  4.53167541e-08
    24      1.51721191      1.30310059  1.36562118e-06
    25      1.51747131      1.30273438  2.71138679e-08
    26      1.51750183      1.30249023  6.03798557e-07
    27      1.51750183      1.30279541  7.95804640e-09
    28      1.51756287      1.30291748  3.55629100e-07
    29      1.51747131      1.30278015  5.71382098e-09
    30      1.51741028      1.30274963  1.42270749e-07
    31      1.51750183      1.30276489  2.26777804e-09
    32      1.51756287      1.30273438  8.19739631e-08
    33      1.51748657      1.30278015  2.17374049e-10
    34      1.51745605      1.30281067  1.91182287e-08
    35      1.51749039      1.30277252  6.53677485e-11
